iso_code,country,risk_score,narrative
SPM,Saint Pierre and Miquelon,20.4,"Saint Pierre and Miquelon's climate risk is low (score: 20.4/100 as of 2024). Per-capita emissions stand at 9.8 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+3.8% year-over-year). Key priorities: accelerating renewable adoption."
TCA,Turks and Caicos Islands,20.3,"Turks and Caicos Islands's climate risk is low (score: 20.3/100 as of 2024). Per-capita emissions stand at 8.1 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+3.8% year-over-year). Key priorities: accelerating renewable adoption."
ESP,Spain,20.3,"Spain's climate risk is low (score: 20.3/100 as of 2024). Per-capita emissions are relatively low at 4.6 tonnes. Renewable energy adoption is low at 6%, presenting a major opportunity for decarbonization. Emissions are increasing (+2.3% year-over-year). Key priorities: accelerating renewable adoption."
ABW,Aruba,20.2,"Aruba's climate risk is low (score: 20.2/100 as of 2024). Per-capita emissions stand at 8.5 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+3.8% year-over-year). Key priorities: accelerating renewable adoption."
VGB,British Virgin Islands,20.1,"British Virgin Islands's climate risk is low (score: 20.1/100 as of 2024). Per-capita emissions are relatively low at 4.9 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+4.3% year-over-year). Key priorities: accelerating renewable adoption."
MSR,Montserrat,20.1,"Montserrat's climate risk is low (score: 20.1/100 as of 2024). Per-capita emissions stand at 6.0 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+3.8% year-over-year). Key priorities: accelerating renewable adoption."
NIU,Niue,20.1,"Niue's climate risk is low (score: 20.1/100 as of 2024). Per-capita emissions are relatively low at 4.1 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are rapidly increasing (+14.3% year-over-year). Key priorities: accelerating renewable adoption."
COK,Cook Islands,20.1,"Cook Islands's climate risk is low (score: 20.1/100 as of 2024). Per-capita emissions stand at 5.8 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+3.9% year-over-year). Key priorities: accelerating renewable adoption."
BES,Bonaire Sint Eustatius and Saba,20.1,"Bonaire Sint Eustatius and Saba's climate risk is low (score: 20.1/100 as of 2024). Per-capita emissions are relatively low at 4.9 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+4.1% year-over-year). Key priorities: accelerating renewable adoption."
PYF,French Polynesia,20.0,"French Polynesia's climate risk is low (score: 20.0/100 as of 2024). Per-capita emissions are relatively low at 3.3 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+4.6% year-over-year). Key priorities: accelerating renewable adoption."
SSD,South Sudan,20.0,"South Sudan's climate risk is low (score: 20.0/100 as of 2024). Per-capita emissions are relatively low at 0.1 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+1.8% year-over-year). Key priorities: accelerating renewable adoption."
WLF,Wallis and Futuna,19.9,"Wallis and Futuna's climate risk is low (score: 19.9/100 as of 2024). Per-capita emissions are relatively low at 2.7 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are rapidly increasing (+6.9% year-over-year). Key priorities: accelerating renewable adoption."
FRA,France,19.9,"France's climate risk is low (score: 19.9/100 as of 2024). Per-capita emissions are relatively low at 4.0 tonnes. Renewable energy adoption is low at 4%, presenting a major opportunity for decarbonization. Emissions are decreasing (-2.3% year-over-year). Key priorities: accelerating renewable adoption."
PSE,Palestine,19.9,"Palestine's climate risk is low (score: 19.9/100 as of 2024). Per-capita emissions are relatively low at 0.9 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Key priorities: accelerating renewable adoption."
MAC,Macao,19.9,"Macao's climate risk is low (score: 19.9/100 as of 2024). Per-capita emissions are relatively low at 1.5 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+1.2% year-over-year). Key priorities: accelerating renewable adoption."
SHN,Saint Helena,19.9,"Saint Helena's climate risk is low (score: 19.9/100 as of 2024). Per-capita emissions are relatively low at 2.2 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Key priorities: accelerating renewable adoption."
SMR,San Marino,19.8,San Marino's climate risk is low (score: 19.8/100 as of 2024). Per-capita emissions are relatively low at nan tonnes.
HKG,Hong Kong,19.6,"Hong Kong's climate risk is low (score: 19.6/100 as of 2024). Per-capita emissions are relatively low at 4.5 tonnes. Coal accounts for 34% of CO₂ emissions, indicating heavy fossil fuel dependency. Renewable energy adoption is low at 2%, presenting a major opportunity for decarbonization. Emissions are increasing (+1.1% year-over-year). Key priorities: phasing out coal, accelerating renewable adoption."
MCO,Monaco,19.6,Monaco's climate risk is low (score: 19.6/100 as of 2024). Per-capita emissions are relatively low at nan tonnes.
KNA,Saint Kitts and Nevis,19.6,"Saint Kitts and Nevis's climate risk is low (score: 19.6/100 as of 2024). Per-capita emissions stand at 5.5 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+4.0% year-over-year). Key priorities: accelerating renewable adoption."
ISR,Israel,19.1,"Israel's climate risk is low (score: 19.1/100 as of 2024). Per-capita emissions stand at 5.6 tonnes. Renewable energy adoption is low at 4%, presenting a major opportunity for decarbonization. Emissions are decreasing (-5.0% year-over-year). Key priorities: accelerating renewable adoption."
AUT,Austria,19.1,"Austria's climate risk is low (score: 19.1/100 as of 2024). Per-capita emissions stand at 6.2 tonnes. Renewable energy adoption is low at 5%, presenting a major opportunity for decarbonization. Key priorities: accelerating renewable adoption."
FIN,Finland,17.0,"Finland's climate risk is low (score: 17.0/100 as of 2024). Per-capita emissions stand at 5.3 tonnes. Renewable energy adoption is low at 3%, presenting a major opportunity for decarbonization. Emissions are rapidly declining (-6.4% year-over-year). Key priorities: accelerating renewable adoption."
CZE,Czechia,17.0,"Czechia's climate risk is low (score: 17.0/100 as of 2024). Per-capita emissions stand at 7.0 tonnes. Coal accounts for 45% of CO₂ emissions, indicating heavy fossil fuel dependency. Renewable energy adoption is low at 4%, presenting a major opportunity for decarbonization. Emissions are rapidly declining (-9.1% year-over-year). Key priorities: phasing out coal, accelerating renewable adoption."
GBR,United Kingdom,17.0,"United Kingdom's climate risk is low (score: 17.0/100 as of 2024). Per-capita emissions are relatively low at 4.5 tonnes. Renewable energy adoption is low at 3%, presenting a major opportunity for decarbonization. Emissions are increasing (+1.7% year-over-year). Key priorities: accelerating renewable adoption."
BMU,Bermuda,16.9,"Bermuda's climate risk is low (score: 16.9/100 as of 2024). Per-capita emissions stand at 8.5 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+3.8% year-over-year). Key priorities: accelerating renewable adoption."
AND,Andorra,16.8,"Andorra's climate risk is low (score: 16.8/100 as of 2024). Per-capita emissions stand at 5.2 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+1.7% year-over-year). Key priorities: accelerating renewable adoption."
CAN,Canada,15.8,"Canada's climate risk is low (score: 15.8/100 as of 2024). Per-capita emissions stand at 13.4 tonnes. Renewable energy adoption is low at 5%, presenting a major opportunity for decarbonization. Emissions are decreasing (-2.2% year-over-year). Key priorities: accelerating renewable adoption, implementing carbon pricing."
LIE,Liechtenstein,15.6,"Liechtenstein's climate risk is low (score: 15.6/100 as of 2024). Per-capita emissions are relatively low at 3.3 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Key priorities: accelerating renewable adoption."
NOR,Norway,11.1,"Norway's climate risk is low (score: 11.1/100 as of 2024). Per-capita emissions stand at 6.7 tonnes. Renewable energy adoption is low at 7%, presenting a major opportunity for decarbonization. Emissions are decreasing (-4.3% year-over-year). Key priorities: accelerating renewable adoption."
CHE,Switzerland,10.2,"Switzerland's climate risk is low (score: 10.2/100 as of 2024). Per-capita emissions are relatively low at 3.6 tonnes. Renewable energy adoption is low at 5%, presenting a major opportunity for decarbonization. Key priorities: accelerating renewable adoption."
